symbol,name,report_period,announcement_date,announcement_title,announcement_url
601857,中国石油,20250331,2025-04-30,中国石油天然气股份有限公司2025年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601857&announcementId=1223415949&orgId=9900003825&announcementTime=2025-04-30
601857,中国石油,20250930,2025-10-31,中国石油天然气股份有限公司2025年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601857&announcementId=1224779070&orgId=9900003825&announcementTime=2025-10-31
601857,中国石油,20260331,2026-04-30,中国石油天然气股份有限公司2026年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601857&announcementId=1225258061&orgId=9900003825&announcementTime=2026-04-30
601868,中国能建,20231231,2024-03-29,中国能源建设股份有限公司2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601868&announcementId=1219448335&orgId=9900031628&announcementTime=2024-03-29
601868,中国能建,20240331,2024-04-30,中国能源建设股份有限公司2024年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601868&announcementId=1219926471&orgId=9900031628&announcementTime=2024-04-30
601868,中国能建,20240630,2024-08-31,中国能源建设股份有限公司2024年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601868&announcementId=1221092756&orgId=9900031628&announcementTime=2024-08-31
601868,中国能建,20240930,2024-10-31,中国能源建设股份有限公司2024年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601868&announcementId=1221576097&orgId=9900031628&announcementTime=2024-10-31
601868,中国能建,20241231,2025-03-29,中国能源建设股份有限公司2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601868&announcementId=1222951618&orgId=9900031628&announcementTime=2025-03-29
601868,中国能建,20250331,2025-04-30,中国能源建设股份有限公司2025年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601868&announcementId=1223415959&orgId=9900031628&announcementTime=2025-04-30
601868,中国能建,20250630,2025-08-29,中国能源建设股份有限公司2025年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601868&announcementId=1224610873&orgId=9900031628&announcementTime=2025-08-29
601868,中国能建,20250930,2025-10-31,中国能源建设股份有限公司2025年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601868&announcementId=1224776677&orgId=9900031628&announcementTime=2025-10-31
601868,中国能建,20251231,2026-03-28,中国能源建设股份有限公司2025年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601868&announcementId=1225047990&orgId=9900031628&announcementTime=2026-03-28
601868,中国能建,20260331,2026-04-30,中国能源建设股份有限公司2026年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601868&announcementId=1225260397&orgId=9900031628&announcementTime=2026-04-30
601872,招商轮船,20231231,2024-03-28,招商轮船2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601872&announcementId=1219428402&orgId=9900001441&announcementTime=2024-03-28
601872,招商轮船,20240331,2024-04-30,招商轮船2024年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601872&announcementId=1219905507&orgId=9900001441&announcementTime=2024-04-30
601872,招商轮船,20240630,2024-08-29,招商轮船2024年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601872&announcementId=1221029707&orgId=9900001441&announcementTime=2024-08-29
601872,招商轮船,20240930,2024-10-29,招商轮船2024年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601872&announcementId=1221540336&orgId=9900001441&announcementTime=2024-10-29
601872,招商轮船,20241231,2025-03-28,招商轮船2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601872&announcementId=1222929334&orgId=9900001441&announcementTime=2025-03-28
